Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,110119,União das freguesias de Alenquer (Santo Estêvão e Triana)
3,110120,União das freguesias de Carregado e Cadafais
2,APU1102A,Arruda dos Vinhos
3,110202,Arruda dos Vinhos
2,APU1103A,Azambuja
3,110304,Azambuja
2,APU1105A,Alcabideche
3,110501,Alcabideche
3,110506,São Domingos de Rana
3,110507,União das freguesias de Carcavelos e Parede
3,110508,União das freguesias de Cascais e Estoril
2,APU1105B,"São Domingos de Rana e Tires, Carcavelos e Parede"
2,APU1105C,Cascais e Estoril
2,APU1106A,Lisboa
3,110601,Ajuda
3,110602,Alcântara
3,110607,Beato
3,110608,Benfica
3,110610,Campolide
3,110611,Carnide
3,110618,Lumiar
3,110621,Marvila
3,110633,Olivais
3,110639,São Domingos de Benfica
3,110654,Alvalade
3,110655,Areeiro
3,110656,Arroios
3,110657,Avenidas Novas
3,110658,Belém
3,110659,Campo de Ourique
3,110660,Estrela
3,110661,Misericórdia
3,110662,Parque das Nações
3,110663,Penha de França
3,110664,Santa Clara
3,110665,Santa Maria Maior
3,110666,Santo António
3,110667,São Vicente
2,APU1107A,Loures
3,110707,Loures
3,110726,União das freguesias de Moscavide e Portela
3,110727,União das freguesias de Sacavém e Prior Velho
3,110728,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela"
3,110729,União das freguesias de Santo Antão e São Julião do Tojal
3,110730,União das freguesias de Santo António dos Cavaleiros e Frielas
3,110731,"União das freguesias de Camarate, Unhos e Apelação"
2,APU1108A,Lourinhã
3,110810,Ribamar
3,110812,União das freguesias de Lourinhã e Atalaia
2,APU1109A,Mafra
3,110906,Ericeira
3,110909,Mafra
3,110921,União das freguesias de Malveira e São Miguel de Alcainça
3,110922,União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés
2,APU1110A,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
3,111002,Barcarena
3,111009,Porto Salvo
3,111012,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
3,111013,União das freguesias de Carnaxide e Queijas
3,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
2,APU1111A,Sintra
3,111102,Algueirão-Mem Martins
3,111108,Rio de Mouro
3,111115,Casal de Cambra
3,111122,União das freguesias de Agualva e Mira-Sintra
3,111123,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar"
3,111124,União das freguesias do Cacém e São Marcos
3,111125,União das freguesias de Massamá e Monte Abraão
3,111126,União das freguesias de Queluz e Belas
3,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)"
2,APU1112A,Sobral de Monte Agraço
3,111203,Sobral de Monte Agraço
2,APU1113A,Torres Vedras
3,111310,Ponte do Rol
3,111316,Silveira
3,111326,"Santa Maria, São Pedro e Matacães"
2,APU1114A,Vila Franca de Xira
3,111408,Vialonga
3,111409,Vila Franca de Xira
3,111412,"União das freguesias de Alhandra, São João dos Montes e Calhandriz"
3,111413,União das freguesias de Alverca do Ribatejo e Sobralinho
3,111414,União das freguesias de Castanheira do Ribatejo e Cachoeiras
3,111415,União das freguesias de Póvoa de Santa Iria e Forte da Casa
