Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,160217,Vila Praia de Âncora
2,AMU1603A,Melgaço (AMU)
3,160301,Alvaredo
3,160322,União das freguesias de Prado e Remoães
3,160323,União das freguesias de Vila e Roussas
2,AMU1604A,Monção (AMU)
3,160404,Barbeita
3,160418,Moreira
3,160421,Pinheiros
3,160427,Segude
2,AMU1605A,Paredes de Coura (AMU)
3,160503,Castanheira
2,AMU1606A,Ponte da Barca (AMU)
3,160603,Bravães
3,160611,Lavradas
3,160613,Nogueira
3,160614,Oleiros
3,160624,Vade (São Tomé)
2,AMU1607A,Ponte de Lima (AMU)
3,160701,Anais
3,160704,Arcozelo
3,160708,Bertiandos
3,160710,Brandara
3,160758,Fornelos e Queijada
3,160726,Gandra
3,160727,Gemieira
3,160744,Rebordões (Santa Maria)
3,160747,Rebordões (Souto)
3,160737,Refóios do Lima
3,160739,Ribeira
3,160740,Sá
3,160742,Santa Comba
3,160743,Santa Cruz do Lima
3,160745,Seara
3,160750,Vitorino das Donas
2,AMU1608A,Valença (AMU)
3,160806,Friestas
3,160812,São Pedro da Torre
2,AMU1609A,Viana do Castelo (AMU)
3,160908,Carreço
3,160915,Lanheses
3,160922,Mujães
3,160926,Perre
3,160923,São Romão de Neiva
3,160942,União das freguesias de Cardielos e Serreleis
3,160943,"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão"
3,160944,União das freguesias de Mazarefes e Vila Fria
3,160946,"União das freguesias de Subportela, Deocriste e Portela Susã"
3,160947,União das freguesias de Torre e Vila Mou
3,160935,Vila Franca
2,AMU1610A,Vila Nova de Cerveira (AMU)
3,161006,Gondarém
3,161007,Loivo
3,161019,União das freguesias de Vila Nova de Cerveira e Lovelhe
2,AMU1701A,Alijó (AMU)
3,170101,Alijó
2,AMU1702A,Boticas (AMU)
3,170219,Boticas e Granja
2,AMU1703A,Chaves (AMU)
3,170341,Vale de Anta
2,AMU1704A,Mesão Frio (AMU)
3,170408,Mesão Frio (Santo André)
2,AMU1705A,Mondim de Basto (AMU)
3,170505,São Cristóvão de Mondim de Basto
2,AMU1706A,Montalegre (AMU)
3,170638,União das freguesias de Montalegre e Padroso
2,AMU1707A,Murça (AMU)
3,170705,Murça
2,AMU1708A,Peso da Régua (AMU)
3,170802,Fontelas
3,170805,Loureiro
2,AMU1709A,Ribeira de Pena (AMU)
3,170909,União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega
2,AMU1710A,Sabrosa (AMU)
3,171009,Sabrosa
2,AMU1711A,Santa Marta de Penaguião (AMU)
3,171106,Medrões
3,171111,União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane
2,AMU1712A,Valpaços (AMU)
3,171236,Valpaços e Sanfins
2,AMU1713A,Vila Pouca de Aguiar (AMU)
3,171314,Vila Pouca de Aguiar
2,AMU1801A,Armamar (AMU)
3,180120,Armamar
2,AMU1802A,Carregal do Sal (AMU)
3,180208,Carregal do Sal
2,AMU1803A,Castro Daire (AMU)
3,180304,Castro Daire
2,AMU1804A,Cinfães (AMU)
3,180403,Cinfães
3,180404,Espadanedo
3,180415,Tarouquela
3,180417,Travanca
2,AMU1805A,Lamego (AMU)
3,180507,Ferreirim
3,180508,Ferreiros de Avões
3,180520,Sande
2,AMU1808A,Mortágua (AMU)
3,180811,"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça"
2,AMU1809A,Nelas (AMU)
3,180901,Canas de Senhorim
3,180903,Nelas
2,AMU1810A,Oliveira de Frades (AMU)
3,181009,São Vicente de Lafões
3,181015,"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães"
2,AMU1811A,Penalva do Castelo (AMU)
3,181109,Pindo
2,AMU1812A,Penedono (AMU)
3,181211,União das freguesias de Penedono e Granja
2,AMU1813A,Resende (AMU)
3,181316,União das freguesias de Anreade e São Romão de Aregos
2,AMU1814A,Santa Comba Dão (AMU)
3,181411,União das freguesias de Santa Comba Dão e Couto do Mosteiro
2,AMU1815A,São João da Pesqueira (AMU)
3,181515,União das freguesias de São João da Pesqueira e Várzea de Trevões
2,AMU1818A,Sernancelhe (AMU)
3,181821,União das freguesias de Sernancelhe e Sarzeda
2,AMU1819A,Tabuaço (AMU)
3,181914,Tabuaço
2,AMU1820A,Tarouca (AMU)
3,182011,União das freguesias de Gouviães e Ucanha
3,182013,União das freguesias de Tarouca e Dálvares
2,AMU1821A,Tondela (AMU)
3,182102,Campo de Besteiros
3,182103,Canas de Santa Maria
3,182111,Molelos
2,AMU1822A,Vila Nova de Paiva (AMU)
3,182208,"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas"
2,AMU1823A,Viseu (AMU)
3,182306,Campo
3,182315,Fragosela
3,182327,São João de Lourosa
2,AMU1824A,Vouzela (AMU)
3,182415,União das freguesias de Vouzela e Paços de Vilharigues
2,AMU3101A,Calheta (AMU)
3,310101,Arco da Calheta
3,310102,Calheta
3,310105,Jardim do Mar
3,310106,Paul do Mar
2,AMU3102A,Câmara de Lobos (AMU)
3,310204,Quinta Grande
2,AMU3104A,Machico (AMU)
3,310402,Caniçal
3,310405,Santo António da Serra
2,AMU3105A,Ponta do Sol (AMU)
3,310501,Canhas
3,310502,Madalena do Mar
3,310503,Ponta do Sol
2,AMU3106A,Porto Moniz (AMU)
3,310602,Porto Moniz
2,AMU3109A,Santana (AMU)
3,310901,Arco de São Jorge
3,310903,Santana
2,AMU3110A,São Vicente (AMU)
3,311003,São Vicente
2,AMU4101A,Vila do Porto (AMU)
3,410105,Vila do Porto
2,AMU4201A,Lagoa (AMU)
3,420101,Água de Pau
3,420102,Cabouco
3,420105,Ribeira Chã
2,AMU4202A,Nordeste (AMU)
3,420204,Nordeste
2,AMU4203A,Ponta Delgada (AMU)
3,420307,Fajã de Cima
3,420308,Fenais da Luz
3,420315,Relva
3,420320,Santo António
3,420321,São Vicente Ferreira
2,AMU4204A,Povoação (AMU)
3,420405,Povoação
2,AMU4205A,Ribeira Grande (AMU)
3,420507,Porto Formoso
3,420511,Ribeira Seca
3,420512,Ribeirinha
2,AMU4206A,Vila Franca do Campo (AMU)
3,420602,Ponta Garça
3,420606,Ribeira Seca
3,420604,Vila Franca do Campo (São Miguel)
2,AMU4301A,Angra do Heroísmo (AMU)
3,430108,Feteira
3,430112,Ribeirinha
3,430116,São Mateus da Calheta
3,430118,Terra Chã
2,AMU4302A,Vila da Praia da Vitória (AMU)
3,430203,Cabo da Praia
3,430204,Fonte do Bastardo
3,430206,Lajes
3,430211,Porto Martins
3,430209,São Brás
3,430210,Vila Nova
2,AMU4401A,Santa Cruz da Graciosa (AMU)
3,440104,Santa Cruz da Graciosa
2,AMU4501A,Calheta  (AMU)
3,450101,Calheta
2,AMU4502A,Velas (AMU)
3,450206,Velas (São Jorge)
2,AMU4601A,Lajes do Pico (AMU)
3,460102,Lajes do Pico
2,AMU4602A,Madalena (AMU)
3,460204,Madalena
2,AMU4603A,São Roque do Pico (AMU)
3,460305,São Roque do Pico
2,AMU4701A,Horta (AMU)
3,470104,Feteira
3,470107,Horta (Conceição)
2,AMU4801A,Lajes das Flores (AMU)
3,480105,Lajes das Flores
2,AMU4802A,Santa Cruz das Flores (AMU)
3,480204,Santa Cruz das Flores
2,AMU4901A,Corvo (AMU)
3,490101,Corvo
1,APR,Área predominantemente rural
2,APR0101A,Águeda (APR)
3,010112,Macinhata do Vouga
3,010123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
3,010127,União das freguesias do Préstimo e Macieira de Alcoba
3,010119,Valongo do Vouga
2,APR0102A,Albergaria-a-Velha (APR)
3,010203,Angeja
3,010206,Ribeira de Fráguas
3,010210,São João de Loure e Frossos
2,APR0103A,Anadia (APR)
3,010305,Avelãs de Cima
3,010307,Moita
3,010316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
3,010312,Vila Nova de Monsarros
3,010313,Vilarinho do Bairro
2,APR0104A,Arouca (APR)
3,010402,Alvarenga
3,010409,Escariz
3,010411,Fermedo
3,010413,Mansores
3,010414,Moldes
3,010415,Rossas
3,010416,Santa Eulália
3,010417,São Miguel do Mato
3,010418,Tropeço
3,010422,União das freguesias de Cabreiros e Albergaria da Serra
3,010423,União das freguesias de Canelas e Espiunca
3,010424,União das freguesias de Covelo de Paivó e Janarde
3,010419,Urrô
2,APR0105A,Aveiro (APR)
3,010511,São Jacinto
2,APR0106A,Castelo de Paiva (APR)
3,010606,Real
2,APR0108A,Estarreja (APR)
3,010809,União das freguesias de Canelas e Fermelã
2,APR0111A,Mealhada (APR)
3,011102,Barcouço
3,011104,Luso
3,011107,Vacariça
2,APR0113A,Oliveira de Azeméis (APR)
3,011310,Ossela
2,APR0117A,Sever do Vouga (APR)
3,011702,Couto de Esteves
3,011704,Pessegueiro do Vouga
3,011708,Talhadas
3,011710,União das freguesias de Cedrim e Paradela
3,011711,União das freguesias de Silva Escura e Dornelas
2,APR0118A,Vagos (APR)
3,011801,Calvão
3,011804,Gafanha da Boa Hora
2,APR0119A,Vale de Cambra (APR)
3,011901,Arões
3,011903,Cepelos
3,011905,Junqueira
3,011907,Roge
2,APR0907A,Guarda (APR)
3,090766,Adão
3,090703,Aldeia do Bispo
3,090704,Aldeia Viçosa
3,090705,Alvendre
3,090706,Arrifana
3,090708,Avelãs da Ribeira
3,090709,Benespera
3,090711,Casal de Cinza
3,090712,Castanheira
3,090713,Cavadoude
3,090714,Codesseiro
3,090716,Faia
3,090717,Famalicão
3,090718,Fernão Joanes
3,090757,Gonçalo
3,090721,Gonçalo Bocas
3,090759,Jarmelo São Miguel
3,090760,Jarmelo São Pedro
3,090722,João Antão
3,090723,Maçainhas
3,090724,Marmeleiro
3,090725,Meios
3,090728,Panoias de Cima
3,090729,Pega
3,090730,Pêra do Moço
3,090732,Porto da Carne
3,090734,Ramela
3,090738,Santana da Azinha
3,090744,Sobral da Serra
3,090761,União de freguesias de Avelãs de Ambom e Rocamondo
3,090762,União de freguesias de Corujeira e Trinta
3,090763,"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro"
3,090764,União de freguesias de Pousade e Albardo
3,090765,União de freguesias de Rochoso e Monte Margarida
3,090746,Vale de Estrela
3,090747,Valhelhas
3,090748,Vela
3,090749,Videmonte
3,090750,Vila Cortês do Mondego
3,090751,Vila Fernando
3,090752,Vila Franca do Deão
3,090753,Vila Garcia
2,APR0908A,Manteigas (APR)
3,090801,Sameiro
3,090804,Vale de Amoreira
2,APR0909A,Meda (APR)
3,090901,Aveloso
3,090902,Barreira
3,090905,Coriscada
3,090907,Longroiva
3,090908,Marialva
3,090912,Poço do Canto
3,090918,Prova e Casteição
3,090914,Rabaçal
3,090915,Ranhados
3,090919,"União das freguesias de Vale Flor, Carvalhal e Pai Penela"
2,APR0910A,Pinhel (APR)
3,091028,Agregação das freguesias Sul de Pinhel
3,091032,Alto do Palurdo
3,091029,Alverca da Beira/Bouça Cova
3,091009,Ervedosa
3,091010,Freixedas
3,091012,Lamegal
3,091013,Lameiras
3,091014,Manigoto
3,091015,Pala
3,091018,Pínzio
3,091024,Souro Pires
3,091030,Terras de Massueime
3,091035,União das freguesias de Atalaia e Safurdão
3,091031,Valbom/Bogalhal
3,091033,Vale do Côa
3,091034,Vale do Massueime
3,091027,Vascoveiro
2,APR1408A,Constância (APR)
3,140802,Montalvo
3,140803,Santa Margarida da Coutada
2,APR1409A,Coruche (APR)
3,140907,Biscainho
3,140905,Branca
3,140902,Couço
3,140908,Santana do Mato
3,140903,São José da Lamarosa
2,APR1411A,Ferreira do Zêzere (APR)
3,141101,Águas Belas
3,141103,Beco
3,141104,Chãos
3,141107,Igreja Nova do Sobral
3,141110,Nossa Senhora do Pranto
3,141111,União das freguesias de Areias e Pias
2,APR1412A,Golegã (APR)
3,141201,Azinhaga
3,141203,Pombalinho
2,APR1413A,Mação (APR)
3,141302,Amêndoa
3,141303,Cardigos
3,141304,Carvoeiro
3,141305,Envendos
3,141307,Ortiga
2,APR1414A,Rio Maior (APR)
3,141401,Alcobertas
3,141402,Arrouquelas
3,141410,Asseiceira
3,141405,Fráguas
3,141411,São Sebastião
3,141415,União das freguesias de Azambujeira e Malaqueijo
3,141416,União das freguesias de Marmeleira e Assentiz
3,141417,União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões
3,141418,União das freguesias de São João da Ribeira e Ribeira de São João
2,APR1416A,Santarém (APR)
3,141601,Abitureiras
3,141602,Abrã
3,141604,Alcanede
3,141605,Alcanhões
3,141606,Almoster
3,141608,Arneiro das Milhariças
3,141628,Gançaria
3,141613,Moçarria
3,141614,Pernes
3,141616,Póvoa da Isenta
3,141629,"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém"
3,141630,União das freguesias de Azoia de Cima e Tremês
3,141631,União das freguesias de Casével e Vaqueiros
3,141632,União das freguesias de Romeira e Várzea
3,141634,União das freguesias de São Vicente do Paul e Vale de Figueira
2,APR1417A,Sardoal (APR)
3,141701,Alcaravela
3,141702,Santiago de Montalegre
3,141704,Valhascos
2,APR1418A,Tomar (APR)
3,141802,Asseiceira
3,141808,Olalhas
3,141814,Sabacheira
3,141813,São Pedro de Tomar
3,141817,União das freguesias de Além da Ribeira e Pedreira
3,141818,União das freguesias de Casais e Alviobeira
3,141819,União das freguesias de Madalena e Beselga
3,141820,União das freguesias de Serra e Junceira
2,APR0201A,Aljustrel (APR)
3,020102,Ervidel
3,020103,Messejana
3,020104,São João de Negrilhos
2,APR0202A,Almodôvar (APR)
3,020208,Aldeia dos Fernandes
3,020203,Rosário
3,020205,Santa Cruz
3,020206,São Barnabé
3,020210,União das freguesias de Santa Clara-a-Nova e Gomes Aires
2,APR0203A,Alvito (APR)
3,020302,Vila Nova da Baronia
2,APR0205A,Beja (APR)
3,020502,Baleizão
3,020503,Beringel
3,020504,Cabeça Gorda
3,020506,Nossa Senhora das Neves
3,020510,Santa Clara de Louredo
3,020516,São Matias
3,020519,União das freguesias de Albernoa e Trindade
3,020522,União das freguesias de Salvada e Quintos
3,020523,União das freguesias de Santa Vitória e Mombeja
3,020524,União das freguesias de Trigaches e São Brissos
2,APR0206A,Castro Verde (APR)
3,020603,Entradas
3,020604,Santa Bárbara de Padrões
3,020605,São Marcos da Ataboeira
2,APR0207A,Cuba (APR)
3,020702,Faro do Alentejo
3,020703,Vila Alva
3,020704,Vila Ruiva
2,APR0208A,Ferreira do Alentejo (APR)
3,020803,Figueira dos Cavaleiros
3,020804,Odivelas
3,020807,União das freguesias de Alfundão e Peroguarda
2,APR0209A,Mértola (APR)
3,020901,Alcaria Ruiva
3,020902,Corte do Pinto
3,020903,Espírito Santo
3,020905,Santana de Cambas
3,020906,São João dos Caldeireiros
3,020910,"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros"
2,APR0210A,Moura (APR)
3,021001,Amareleja
3,021002,Póvoa de São Miguel
3,021008,Sobral da Adiça
3,021010,União das freguesias de Safara e Santo Aleixo da Restauração
2,APR0211A,Odemira (APR)
3,021116,Boavista dos Pinheiros
3,021118,Colos
3,021117,Longueira/Almograve
3,021115,Luzianes-Gare
3,021102,Relíquias
3,021103,Sabóia
3,021119,Santa Clara-a-Velha
3,021106,São Luís
3,021107,São Martinho das Amoreiras
3,021122,Vale de Santiago
2,APR0212A,Ourique (APR)
3,021206,Santana da Serra
3,021207,União das freguesias de Garvão e Santa Luzia
3,021208,União das freguesias de Panoias e Conceição
2,APR0213A,Serpa (APR)
3,021302,Brinches
3,021307,Vila Verde de Ficalho
2,APR0214A,Vidigueira (APR)
3,021401,Pedrógão
3,021402,Selmes
3,021404,Vila de Frades
2,APR0301A,Amares (APR)
3,030119,Bouro (Santa Maria)
3,030120,Bouro (Santa Marta)
3,030126,"União das freguesias de Caldelas, Sequeiros e Paranhos"
3,030129,"União das freguesias de Vilela, Seramil e Paredes Secas"
2,APR0302A,Barcelos (APR)
3,030218,Carapeços
3,030235,Fragoso
3,030255,Palme
3,030290,União das freguesias de Alheira e Igreja Nova
3,030297,União das freguesias de Creixomil e Mariz
3,0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria"
2,APR0303A,Braga (APR)
3,030334,Pedralva
3,030372,União das freguesias de Guisande e Oliveira (São Pedro)
2,APR0304A,Cabeceiras de Basto (APR)
3,030401,Abadim
3,030405,Bucos
3,030406,Cabeceiras de Basto
3,030407,Cavez
3,030408,Faia
3,030413,Pedraça
3,030415,Rio Douro
3,030418,União das freguesias de Alvite e Passos
3,030420,União das freguesias de Gondiães e Vilar de Cunhas
2,APR0305A,Celorico de Basto (APR)
3,030502,Arnóia
3,030520,Basto (São Clemente)
3,030508,Codeçoso
3,030510,Fervença
3,030515,Moreira do Castelo
3,030517,Rego
3,030518,Ribas
3,030524,União das freguesias de Caçarilhe e Infesta
3,030525,União das freguesias de Canedo de Basto e Corgo
3,030526,União das freguesias de Carvalho e Basto (Santa Tecla)
3,030521,Vale de Bouro
2,APR0307A,Fafe (APR)
3,030705,Armil
3,030728,São Gens
3,030733,Travassós
3,030737,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído"
3,030738,União de freguesias de Agrela e Serafão
3,030740,"União de freguesias de Ardegão, Arnozela e Seidões"
3,030742,União de freguesias de Freitas e Vila Cova
3,030743,União de freguesias de Monte e Queimadela
3,030744,União de freguesias de Moreira do Rei e Várzea Cova
2,APR0309A,Póvoa de Lanhoso (APR)
3,030908,Ferreiros
3,030915,Lanhoso
3,030921,Rendufinho
3,030923,São João de Rei
3,030924,Serzedelo
3,030925,Sobradelo da Goma
3,030927,Travassos
3,030931,União das freguesias de Calvos e Frades
3,030933,União das freguesias de Esperança e Brunhais
3,030935,"União das freguesias de Verim, Friande e Ajude"
2,APR0310A,Terras de Bouro (APR)
3,031001,Balança
3,031003,Campo do Gerês
3,031004,Carvalheira
3,031008,Covide
3,031009,Gondoriz
3,031013,Rio Caldo
3,031014,Souto
3,031018,União das freguesias de Chamoim e Vilar
3,031019,União das freguesias de Chorense e Monte
3,031020,União das freguesias de Cibões e Brufe
3,031015,Valdosende
3,031017,Vilar da Veiga
2,APR0311A,Vieira do Minho (APR)
3,031105,Cantelães
3,031107,Eira Vedra
3,031108,Guilhofrei
3,031109,Louredo
3,031110,Mosteiro
3,031111,Parada de Bouro
3,031112,Pinheiro
3,031113,Rossas
3,031115,Salamonde
3,031118,Tabuaças
3,031122,União das freguesias de Anissó e Soutelo
3,031123,União das freguesias de Anjos e Vilar do Chão
3,031124,União das freguesias de Caniçada e Soengas
3,031125,União das freguesias de Ruivães e Campos
3,031126,União das freguesias de Ventosa e Cova
2,APR0313A,Vila Verde (APR)
3,031359,Aboim da Nóbrega e Gondomar
3,031360,União das freguesias da Ribeira do Neiva
3,031365,União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel)
3,031369,União das freguesias do Vade
3,031355,Valdreu
2,APR0401A,Alfândega da Fé (APR)
3,040103,Cerejais
3,040111,Sambade
3,040121,"União das freguesias de Agrobom, Saldonha e Vale Pereiro"
3,040122,"União das freguesias de Eucisia, Gouveia e Valverde"
3,040123,União das freguesias de Ferradosa e Sendim da Serra
3,040124,União das freguesias de Gebelim e Soeima
3,040125,União das freguesias de Parada e Sendim da Ribeira
3,040126,União das freguesias de Pombal e Vales
3,040118,Vilar Chão
3,040119,Vilarelhos
3,040120,Vilares de Vilariça
2,APR0402A,Bragança (APR)
3,040201,Alfaião
3,040203,Babe
3,040204,Baçal
3,040206,Carragosa
3,040209,Castro de Avelãs
3,040210,Coelhoso
3,040212,Donai
3,040213,Espinhosela
3,040215,França
3,040216,Gimonde
3,040217,Gondesende
3,040218,Gostei
3,040219,Grijó de Parada
3,040221,Macedo do Mato
3,040224,Mós
3,040225,Nogueira
3,040226,Outeiro
3,040229,Parâmio
3,040230,Pinela
3,040232,Quintanilha
3,040233,Quintela de Lampaças
3,040234,Rabal
3,040236,Rebordãos
3,040239,Salsas
3,040241,Santa Comba de Rossas
3,040244,São Pedro de Sarracenos
3,040246,Sendas
3,040247,Serapicos
3,040248,Sortes
3,040250,União das freguesias de Aveleda e Rio de Onor
3,040251,União das freguesias de Castrelos e Carrazedo
3,040252,"União das freguesias de Izeda, Calvelhe e Paradinha Nova"
3,040253,União das freguesias de Parada e Faílde
3,040254,União das freguesias de Rebordainhos e Pombares
3,040255,União das freguesias de Rio Frio e Milhão
3,040256,União das freguesias de São Julião de Palácios e Deilão
3,040249,Zoio
2,APR0403A,Carrazeda de Ansiães (APR)
3,040306,Fonte Longa
3,040308,Linhares
3,040309,Marzagão
3,040311,Parambos
3,040312,Pereiros
3,040313,Pinhal do Norte
3,040314,Pombal
3,040316,Seixo de Ansiães
3,040320,União das freguesias de Amedo e Zedes
3,040321,União das freguesias de Belver e Mogo de Malta
3,040322,União das freguesias de Castanheiro do Norte e Ribalonga
3,040323,"União das freguesias de Lavandeira, Beira Grande e Selores"
3,040318,Vilarinho da Castanheira
2,APR0404A,Freixo de Espada à Cinta (APR)
3,040404,Ligares
3,040406,Poiares
3,040408,União das freguesias de Lagoaça e Fornos
2,APR0405A,Macedo de Cavaleiros (APR)
3,040503,Arcas
3,040509,Chacim
3,040510,Cortiços
3,040511,Corujas
3,040514,Ferreira
3,040516,Lagoa
3,040517,Lamalonga
3,040518,Lamas
3,040519,Lombo
3,040521,Morais
3,040523,Olmos
3,040524,Peredo
3,040526,Salselas
3,040530,Talhas
3,040539,União das freguesias de Ala e Vilarinho do Monte
3,040540,União das freguesias de Bornes e Burga
3,040542,"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco"
3,040543,União das freguesias de Podence e Santa Combinha
3,040544,União das freguesias de Talhinhas e Bagueixe
3,040536,Vilarinho de Agrochão
3,040538,Vinhas
2,APR0406A,Miranda do Douro (APR)
3,040604,Duas Igrejas
3,040605,Genísio
3,040607,Malhadas
3,040609,Palaçoulo
3,040611,Picote
3,040612,Póvoa
3,040613,São Martinho de Angueira
3,040618,União das freguesias de Constantim e Cicouro
3,040619,União das freguesias de Ifanes e Paradela
3,040620,União das freguesias de Sendim e Atenor
3,040621,União das freguesias de Silva e Águas Vivas
3,040616,Vila Chã de Braciosa
2,APR0407A,Mirandela (APR)
3,040701,Abambres
3,040702,Abreiro
3,040703,Aguieiras
3,040704,Alvites
3,040708,Bouça
3,040709,Cabanelas
3,040710,Caravelas
3,040711,Carvalhais
3,040712,Cedães
3,040713,Cobro
3,040714,Fradizela
3,040716,Frechas
3,040718,Lamas de Orelhão
3,040720,Mascarenhas
3,040722,Múrias
3,040724,Passos
3,040727,São Pedro Velho
3,040728,São Salvador
3,040729,Suçães
3,040730,Torre de Dona Chama
3,040738,União das freguesias de Avantos e Romeu
3,040739,"União das freguesias de Avidagos, Navalho e Pereira"
3,040740,"União das freguesias de Barcel, Marmelos e Valverde da Gestosa"
3,040741,União das freguesias de Franco e Vila Boa
3,040742,União das freguesias de Freixeda e Vila Verde
3,040731,Vale de Asnes
3,040732,Vale de Gouvinhas
3,040733,Vale de Salgueiro
3,040734,Vale de Telhas
2,APR0408A,Mogadouro (APR)
3,040801,Azinhoso
3,040802,Bemposta
3,040803,Bruçó
3,040804,Brunhoso
3,040807,Castelo Branco
3,040808,Castro Vicente
3,040809,Meirinhos
3,040811,Paradela
3,040812,Penas Roias
3,040813,Peredo da Bemposta
3,040815,Saldanha
3,040817,São Martinho do Peso
3,040819,Tó
3,040820,Travanca
3,040829,"União das freguesias de Brunhozinho, Castanheira e Sanhoane"
3,040831,União das freguesias de Remondes e Soutelo
3,040832,União das freguesias de Vilarinho dos Galegos e Ventozelo
3,040821,Urrós
3,040822,Vale da Madre
3,040826,Vila de Ala
2,APR0409A,Torre de Moncorvo (APR)
3,040901,Açoreira
3,040903,Cabeça Boa
3,040905,Carviçais
3,040906,Castedo
3,040909,Horta da Vilariça
3,040910,Larinho
3,040911,Lousa
3,040913,Mós
3,040918,União das freguesias de Adeganha e Cardanha
3,040919,União das freguesias de Felgar e Souto da Velha
3,040920,União das freguesias de Felgueiras e Maçores
3,040921,União das freguesias de Urros e Peredo dos Castelhanos
2,APR0410A,Vila Flor (APR)
3,041002,Benlhevai
3,041005,Freixiel
3,041009,Roios
3,041010,Samões
3,041011,Sampaio
3,041012,Santa Comba de Vilariça
3,041013,Seixo de Manhoses
3,041014,Trindade
3,041020,União das freguesias de Assares e Lodões
3,041021,União das freguesias de Candoso e Carvalho de Egas
3,041022,União das freguesias de Valtorno e Mourão
3,041024,União das freguesias de Vilas Boas e Vilarinho das Azenhas
3,041015,Vale Frechoso
2,APR0411A,Vimioso (APR)
3,041103,Argozelo
3,041107,Carção
3,041108,Matela
3,041109,Pinelo
3,041110,Santulhão
3,041115,"União das freguesias de Algoso, Campo de Víboras e Uva"
3,041116,União das freguesias de Caçarelhos e Angueira
3,041117,União das freguesias de Vale de Frades e Avelanoso
3,041113,Vilar Seco
2,APR0412A,Vinhais (APR)
3,041201,Agrochão
3,041203,Candedo
3,041204,Celas
3,041206,Edral
3,041207,Edrosa
3,041208,Ervedosa
3,041215,Paçó
3,041216,Penhas Juntas
3,041219,Rebordelo
3,041221,Santalha
3,041226,Tuizelo
3,041236,União das freguesias de Curopos e Vale de Janeiro
3,041237,União das freguesias de Moimenta e Montouto
3,041238,União das freguesias de Nunes e Ousilhão
3,041239,União das freguesias de Quirás e Pinheiro Novo
3,041240,União das freguesias de Sobreiro de Baixo e Alvaredos
3,041241,"União das freguesias de Soeira, Fresulfe e Mofreita"
3,041242,União das freguesias de Travanca e Santa Cruz
3,041243,União das freguesias de Vilar de Lomba e São Jomil
3,041227,Vale das Fontes
3,041229,Vila Boa de Ousilhão
3,041230,Vila Verde
3,041232,Vilar de Ossos
3,041233,Vilar de Peregrinos
3,041234,Vilar Seco de Lomba
2,APR0501A,Belmonte (APR)
3,050102,Caria
3,050104,Inguias
3,050105,Maçainhas
2,APR0502A,Castelo Branco (APR)
3,050202,Almaceda
3,050203,Benquerenças
3,050211,Lardosa
3,050212,Louriçal do Campo
3,050214,Malpica do Tejo
3,050216,Monforte da Beira
3,050220,Salgueiro do Campo
3,050221,Santo André das Tojeiras
3,050222,São Vicente da Beira
3,050223,Sarzedas
3,050225,Tinalhas
3,050226,União das freguesias de Cebolais de Cima e Retaxo
3,050227,União das freguesias de Escalos de Baixo e Mata
3,050228,União das freguesias de Escalos de Cima e Lousa
3,050229,União das freguesias de Freixial e Juncal do Campo
3,050230,União das freguesias de Ninho do Açor e Sobral do Campo
3,050231,União das freguesias de Póvoa de Rio de Moinhos e Cafede
2,APR0503A,Covilhã (APR)
3,050302,Aldeia de São Francisco de Assis
3,050308,Cortes do Meio
3,050310,Erada
3,050311,Ferro
3,050312,Orjais
3,050314,Paul
3,050315,Peraboa
3,050318,São Jorge da Beira
3,050322,Sobral de São Miguel
3,050325,Unhais da Serra
3,050332,União das freguesias de Barco e Coutada
3,050334,União das freguesias de Casegas e Ourondo
3,050336,União das freguesias de Peso e Vales do Rio
3,050338,União das freguesias de Vale Formoso e Aldeia do Souto
3,050327,Verdelhos
2,APR0504A,Fundão (APR)
3,050401,Alcaide
3,050402,Alcaria
3,050403,Alcongosta
3,050406,Alpedrinha
3,050408,Barroca
3,050410,Bogas de Cima
3,050411,Capinha
3,050412,Castelejo
3,050413,Castelo Novo
3,050431,Enxames
3,050416,Fatela
3,050419,Lavacolhos
3,050420,Orca
3,050421,Pêro Viseu
3,050424,Silvares
3,050425,Soalheira
3,050426,Souto da Casa
3,050427,Telhado
3,050432,Três Povos
